date,temp,humidity,wind_speed,pressure
01/01/2017,15.91304348,85.86956522,2.743478261,1016
02/01/2017,18.5,77.22222222,2.894444444,1018.277778
03/01/2017,17.11111111,81.88888889,4.016666667,1018.333333
04/01/2017,18.7,70.05,4.545,1015.7
05/01/2017,18.38888889,74.94444444,3.3,1014.333333
06/01/2017,19.31818182,79.31818182,8.681818182,1011.772727
07/01/2017,14.70833333,95.83333333,10.04166667,1011.375
08/01/2017,15.68421053,83.52631579,1.95,1015.55
09/01/2017,14.57142857,80.80952381,6.542857143,1015.952381
10/01/2017,12.11111111,71.94444444,9.361111111,1016.888889
11/01/2017,11,72.11111111,9.772222222,1016.777778
12/01/2017,11.78947368,74.57894737,6.626315789,1016.368421
13/01/2017,13.23529412,67.05882353,6.435294118,1017.529412
14/01/2017,13.2,74.28,5.276,1018.84
15/01/2017,16.43478261,72.56521739,3.630434783,1018.130435
16/01/2017,14.65,78.45,10.38,1017.15
17/01/2017,11.72222222,84.44444444,8.038888889,1018.388889
18/01/2017,13.04166667,78.33333333,6.029166667,1021.958333
19/01/2017,14.61904762,75.14285714,10.33809524,1022.809524
20/01/2017,15.26315789,66.47368421,11.22631579,1021.789474
21/01/2017,15.39130435,70.86956522,13.69565217,1020.478261
22/01/2017,18.44,76.24,5.868,1021.04
23/01/2017,18.11764706,76,6.752941176,1019.823529
24/01/2017,18.34782609,68.13043478,3.391304348,1018.869565
25/01/2017,21,69.96,8.756,1018.4
26/01/2017,16.17857143,91.64285714,8.467857143,1017.785714
27/01/2017,16.5,77.04166667,14.35833333,1018.125
28/01/2017,14.86363636,82.77272727,9.690909091,1019.636364
29/01/2017,15.66666667,81.77777778,10.29444444,1017.388889
30/01/2017,16.44444444,77.55555556,4.322222222,1015.833333
31/01/2017,16.125,76,4.625,1015.5
01/02/2017,15.25,78.625,5.1,1017.5
02/02/2017,17.09090909,66.54545455,3.027272727,1018.909091
03/02/2017,15.63636364,78.18181818,1.854545455,1017.727273
04/02/2017,18.7,77.6,9.82,1014.4
05/02/2017,18.63157895,77.63157895,8.1,1014.210526
06/02/2017,16.88888889,69.66666667,9.044444444,1016
07/02/2017,15.125,63.75,7.6375,1016.125
08/02/2017,15.7,68.4,4.08,1015.6
09/02/2017,15.375,68.375,7.875,1016.375
10/02/2017,14.66666667,71.77777778,9.066666667,1015.666667
11/02/2017,15.625,64,3.95,1016.625
12/02/2017,16.25,70.375,1.625,1019.625
13/02/2017,16.33333333,67,6.377777778,1021.555556
14/02/2017,16.875,65.5,6.9625,1021.375
15/02/2017,17.57142857,67.71428571,5.557142857,1020.571429
16/02/2017,20.25,56.75,10.4375,1017.625
17/02/2017,21.3,64.4,9.28,1016.5
18/02/2017,21.125,70.75,6.25,1016.25
19/02/2017,22.36363636,66.09090909,6.054545455,1013
20/02/2017,23.375,60.125,6.9375,1005.375
21/02/2017,21.83333333,69.41666667,12.34166667,1007.416667
22/02/2017,19.125,57.125,7.4125,1012.25
23/02/2017,18.625,42.875,14.35,1015.25
24/02/2017,19.125,40.375,16.6625,1016.125
25/02/2017,19,50.42857143,11.92857143,1014.285714
26/02/2017,18.75,59,11.1125,1012.375
27/02/2017,19.875,58.375,5.1,1014.25
28/02/2017,23.33333333,51.66666667,3.911111111,1013.111111
01/03/2017,24.46153846,47.92307692,6.415384615,1012.923077
02/03/2017,23.75,54.25,5.93,1012.15
03/03/2017,20.5,42.5,7.4125,1010.625
04/03/2017,19.125,43.125,8.35,1010
05/03/2017,19.75,41.25,9.9625,1010.5
06/03/2017,20,42.44444444,9.666666667,1010.333333
07/03/2017,22.625,41.5,6.025,1007.375
08/03/2017,21.54545455,52.72727273,10.26363636,1008.909091
09/03/2017,20.78571429,69.07142857,8.342857143,1007.357143
10/03/2017,19.9375,67.75,11.4625,1006.875
11/03/2017,18.53333333,60.4,5.566666667,1009.8
12/03/2017,17.375,56.625,7.6375,1014.75
13/03/2017,17.44444444,49.33333333,9.055555556,1014.888889
14/03/2017,18,56.33333333,4.522222222,1016.555556
15/03/2017,19.875,54.75,7.175,1014.125
16/03/2017,24,49.2,5.56,1011.1
17/03/2017,20.9,59.7,11.49,1010.7
18/03/2017,24.69230769,46.30769231,7.123076923,1009.846154
19/03/2017,24.66666667,52.27777778,9.161111111,1011.888889
20/03/2017,23.33333333,54.66666667,10.07777778,1012.555556
21/03/2017,25,49,9.2625,1011.75
22/03/2017,27.25,45,10.1875,1009.75
23/03/2017,28,49.75,3.4875,1008.875
24/03/2017,28.91666667,37.66666667,10.03333333,1010.583333
25/03/2017,26.5,39.375,10.425,1009.875
26/03/2017,29.1,37.1,17.59,1010.2
27/03/2017,29.5,38.625,13.65,1009.5
28/03/2017,29.88888889,40.66666667,8.844444444,1009
29/03/2017,31,34.5,13.2,1007.125
30/03/2017,29.28571429,36.85714286,10.58571429,1007.142857
31/03/2017,30.625,37.625,6.95,1007.5
01/04/2017,31.375,35.125,9.0375,1005
02/04/2017,29.75,33.75,9.2625,1004.25
03/04/2017,30.5,29.75,6.9375,1004.25
04/04/2017,30.93333333,31.86666667,14.32,1007.2
05/04/2017,29.23076923,46,14.38461538,1005
06/04/2017,31.22222222,26,13.57777778,1002.888889
07/04/2017,27,29.875,4.65,1007.375
08/04/2017,25.625,29.375,8.3375,1010.375
09/04/2017,27.125,21.125,14.125,1010.625
10/04/2017,27.85714286,19.42857143,19.31428571,1008.571429
11/04/2017,29.25,17.75,15.5125,1006.25
12/04/2017,29.25,26,9.4875,1005.875
13/04/2017,29.66666667,29.11111111,4.944444444,1006.777778
14/04/2017,30.5,37.625,1.3875,1004.625
15/04/2017,31.22222222,30.44444444,5.966666667,1002.444444
16/04/2017,31,34.25,2.1,1003.25
17/04/2017,32.55555556,38.44444444,5.366666667,1004.444444
18/04/2017,34,27.33333333,7.811111111,1003.111111
19/04/2017,33.5,24.125,9.025,1000.875
20/04/2017,34.5,27.5,5.5625,998.625
21/04/2017,34.25,39.375,6.9625,999.875
22/04/2017,32.9,40.9,8.89,1001.6
23/04/2017,32.875,27.5,9.9625,1002.125
24/04/2017,32,27.14285714,12.15714286,1004.142857
